item_no,name,category,subcategory,chassis,compatibility,motor_type,beginner_level,upgrade_stage,purpose_tags,bmax_approved,catalog_tier,recommended,description,source_url,image_url,image_status,price_dkk,original_price_dkk,stock_qty,unbuilt_stock,built_stock,status,published,available,is_collectors_vault,catalog_order,id,shipping_class,part_group,is_complete_car_kit,is_club_asset,pricing_source,approved_regular_price_dkk,has_unresolved_duplicate,has_uncertain_edition,is_internal_test_record,is_archived_by_admin,is_preorder_enabled,force_coming_soon
19443,Diospada Premium,cars,Mini 4WD Kit,AR,AR,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,special_order,false,Premium AR kit aimed at collectors and experienced beginners. Keep as limited stock or preorder.,https://www.tamiya.com/english/products/19443/index.html,,needs approved upload,249,0,0,0,0,coming soon,false,false,true,11,tamiya-19443-diospada-premium,complete_car_kit,,true,false,board_approved_fixed_price,249,false,false,false,false,false,false
18646,DCR-01,cars,Mini 4WD Kit,MA,MA,PRO dual-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,Balanced MA dual-shaft car with simple assembly and excellent stability. One of the best introductions to PRO motors.,https://www.tamiya.com/english/products/18646/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,12,tamiya-18646-dcr-01,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18657,Ignicion,cars,Mini 4WD Kit,MA,MA,PRO dual-shaft,Beginner,Box Stock,First Car|Box Stock|B-MAX Base,true,core,true,"Modern MA kit that combines easy assembly, balanced handling and a straightforward B-MAX upgrade route.",https://www.tamiya.com/english/products/18657/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,13,tamiya-18657-ignicion,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18640,Raikiri,cars,Mini 4WD Kit,MA,MA,PRO dual-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,expansion,false,Popular MA kit with a low sports-car body. Good for customers who value appearance and stable handling.,https://www.tamiya.com/english/products/18640/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,14,tamiya-18640-raikiri,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
18627,Avante Mk.III Nero,cars,Mini 4WD Kit,MS,MS,PRO dual-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,expansion,false,Classic MS dual-shaft platform for racers who want to learn center-chassis tuning and PRO motor setups.,https://www.tamiya.com/english/products/18627/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,15,tamiya-18627-avante-mk-iii-nero,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
19438,Ray Stinger Premium,cars,Mini 4WD Kit,Super-II,Super-II,Single-shaft,Intermediate,Box Stock,First Car|Box Stock|B-MAX Base,true,special_order,false,Super-II option for classic Fully Cowled fans. Useful as a special-order chassis rather than a large stock item.,https://www.tamiya.com/english/products/19438/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,true,16,tamiya-19438-ray-stinger-premium,complete_car_kit,,true,false,unverified,,false,false,false,false,false,false
92462,Mach Frame Philippine Cup Special,cars,Limited Edition Mini 4WD Kit,FM-A,FM-A,Single-shaft,Intermediate,Collector / B-MAX Base,Limited Edition|Collector|B-MAX Base,true,special_order,false,Philippine Cup edition of the popular FM-A Mach Frame. Keep this as a special-order collector kit rather than a required beginner purchase.,https://www.tamiyausa.com/shop/132-rev/jr-mach-frame-philippine-cup-2/,,needs approved upload,469,0,0,0,0,coming soon,false,false,true,17,tamiya-92462-mach-frame-philippine-cup-special,complete_car_kit,,true,false,board_approved_fixed_price,469,false,false,false,false,false,false
95706,Geo Glider Asia Challenge 2026 Special,cars,Limited Edition Mini 4WD Kit,FM-A,FM-A,Single-shaft,Intermediate,Collector / B-MAX Base,Limited Edition|Collector|B-MAX Base,true,special_order,false,2026 Asia Challenge special-edition FM-A kit. List only when supply is confirmed because availability is expected to be limited.,https://www.tamiya.com/english/newstopics/2026/0115messe2026news/index.html,,needs approved upload,429,0,0,0,0,coming soon,false,false,true,18,tamiya-95706-geo-glider-asia-challenge-2026-special,complete_car_kit,,true,false,board_approved_fixed_price,429,false,false,false,false,false,false
95571,Exflowly Polycarbonate Body Special (Purple),cars,Limited Edition Mini 4WD Kit,MS,MS,PRO dual-shaft,Advanced Beginner,Collector / B-MAX Base,Limited Edition|Polycarbonate Body|Collector,true,special_order,false,"Purple polycarbonate-body MS special. Attractive for collectors and experienced builders, but not necessary for a first car.",https://www.tamiya.com/japan/products/95571/index.html,,needs approved upload,389,0,0,0,0,coming soon,false,false,true,19,tamiya-95571-exflowly-polycarbonate-body-special-purple,complete_car_kit,,true,false,board_approved_fixed_price,389,false,false,false,false,false,false
95126,Cyclone Magnum Memorial 25th Anniversary,cars,Limited Edition Mini 4WD Kit,Super TZ-X,Super TZ-X,Single-shaft,Intermediate,Collector,25th Anniversary|Collector|Limited Edition,true,special_order,false,Anniversary collector kit on the Super TZ-X chassis. Keep it separate from the recommended beginner chassis selection.,https://www.tamiya.com/japan/products/95126/index.html,,needs approved upload,389,0,0,0,0,coming soon,false,false,true,20,tamiya-95126-cyclone-magnum-memorial-25th-anniversary,complete_car_kit,,true,false,board_approved_fixed_price,389,false,false,false,false,false,false
15526,Basic Tune-Up Parts Set for VZ Chassis,parts,Starter Upgrade Sets,VZ,VZ,Not applicable,Beginner,First Upgrade,Stability|Rollers|Damper,true,core,true,"The simplest first upgrade for a VZ car. Adds the essential plates, rollers and control parts in one compatible package.",https://www.tamiya.com/english/products/15526/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,21,tamiya-15526-basic-tune-up-parts-set-for-vz-chassis,bulky_upgrade,starter_upgrade_sets,false,false,unverified,,false,false,false,false,false,false
15514,Basic Tune-Up Parts Set for FM-A Chassis,parts,Starter Upgrade Sets,FM-A,FM-A,Not applicable,Beginner,First Upgrade,Stability|Rollers|Damper,true,core,true,A complete first-step FM-A package. Recommended before customers buy individual aluminum rollers or faster motors.,https://www.tamiya.com/english/products/15514/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,22,tamiya-15514-basic-tune-up-parts-set-for-fm-a-chassis,bulky_upgrade,starter_upgrade_sets,false,false,unverified,,false,false,false,false,false,false
15476,Basic Tune-Up Parts Set for MA Chassis,parts,Starter Upgrade Sets,MA,MA,Not applicable,Beginner,First Upgrade,Stability|Rollers|Damper,true,core,true,Beginner bundle for MA cars that adds stability parts without requiring customers to understand every component separately.,https://www.tamiya.com/english/products/15476/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,23,tamiya-15476-basic-tune-up-parts-set-for-ma-chassis,bulky_upgrade,starter_upgrade_sets,false,false,unverified,,false,false,false,false,false,false
15450,Basic Tune-Up Parts Set for AR Chassis,parts,Starter Upgrade Sets,AR,AR,Not applicable,Beginner,First Upgrade,Stability|Rollers|Damper,true,core,true,"Straightforward AR upgrade set for learning front and rear plates, rollers and basic landing control.",https://www.tamiya.com/english/products/15450/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,24,tamiya-15450-basic-tune-up-parts-set-for-ar-chassis,bulky_upgrade,starter_upgrade_sets,false,false,unverified,,false,false,false,false,false,false
15484,Torque-Tuned 2 Motor,parts,Motors,Universal,FM-A|VZ|AR|Super-II|Super X|Super XX|VS,Single-shaft,Beginner,Speed Upgrade,Acceleration|Technical Track,true,core,true,More acceleration and climbing power than the kit motor. Best first motor for short or technical layouts.,https://www.tamiya.com/english/products/15484/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,25,tamiya-15484-torque-tuned-2-motor,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15485,Rev-Tuned 2 Motor,parts,Motors,Universal,FM-A|VZ|AR|Super-II|Super X|Super XX|VS,Single-shaft,Beginner,Speed Upgrade,Top Speed|Long Straight,true,expansion,false,Higher-rev motor for layouts with longer straights. Recommend only after the car is stable.,https://www.tamiya.com/english/products/15485/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,26,tamiya-15485-rev-tuned-2-motor,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15486,Atomic-Tuned 2 Motor,parts,Motors,Universal,FM-A|VZ|AR|Super-II|Super X|Super XX|VS,Single-shaft,Beginner,Speed Upgrade,Balanced Speed|All-Round,true,core,true,Balanced first motor upgrade for customers who do not yet know whether they need torque or maximum revs.,https://www.tamiya.com/english/products/15486/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,27,tamiya-15486-atomic-tuned-2-motor,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15455,Light-Dash Motor,parts,Motors,Universal,FM-A|VZ|AR|Super-II|Super X|Super XX|VS,Single-shaft,Intermediate,Speed Upgrade,Balanced Speed|Race Motor,true,expansion,false,Intermediate motor between tuned motors and Hyper-Dash. Suitable after basic brakes and rollers are installed.,https://www.tamiya.com/english/products/15455/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,28,tamiya-15455-light-dash-motor,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15477,Hyper-Dash 3 Motor,parts,Motors,Universal,FM-A|VZ|AR|Super-II|Super X|Super XX|VS,Single-shaft,Intermediate,Competitive B-MAX,Speed|Race Motor,true,core,true,"Strong all-round race motor. Sell with a warning that the car should already have brakes, rollers and landing control.",https://www.tamiya.com/english/products/15477/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,29,tamiya-15477-hyper-dash-3-motor,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15487,Torque-Tuned 2 Motor PRO,parts,Motors,Universal,MA|MS|ME,PRO dual-shaft,Beginner,Speed Upgrade,Acceleration|Technical Track,true,core,true,"Dual-shaft torque motor for MA, MS and ME cars. A safe first PRO motor upgrade.",https://www.tamiya.com/english/products/15487/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,30,tamiya-15487-torque-tuned-2-motor-pro,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15488,Rev-Tuned 2 Motor PRO,parts,Motors,Universal,MA|MS|ME,PRO dual-shaft,Beginner,Speed Upgrade,Top Speed|Long Straight,true,expansion,false,"Dual-shaft high-rev motor for MA, MS and ME cars. Best after basic stability parts are fitted.",https://www.tamiya.com/english/products/15488/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,31,tamiya-15488-rev-tuned-2-motor-pro,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15489,Atomic-Tuned 2 Motor PRO,parts,Motors,Universal,MA|MS|ME,PRO dual-shaft,Beginner,Speed Upgrade,Balanced Speed|All-Round,true,core,true,"Balanced dual-shaft motor for new MA, MS and ME racers.",https://www.tamiya.com/english/products/15489/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,32,tamiya-15489-atomic-tuned-2-motor-pro,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15402,Light-Dash Motor PRO,parts,Motors,Universal,MA|MS|ME,PRO dual-shaft,Intermediate,Speed Upgrade,Balanced Speed|Race Motor,true,expansion,false,Intermediate dual-shaft motor for racers moving beyond tuned motors.,https://www.tamiya.com/english/products/15402/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,33,tamiya-15402-light-dash-motor-pro,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15375,Hyper-Dash Motor PRO,parts,Motors,Universal,MA|MS|ME,PRO dual-shaft,Intermediate,Competitive B-MAX,Speed|Race Motor,true,core,true,Competitive all-round dual-shaft motor. Recommend brakes and stable roller settings before use.,https://www.tamiya.com/english/products/15375/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,34,tamiya-15375-hyper-dash-motor-pro,small_part,motors,false,false,unverified,,false,false,false,false,false,false
15512,Brake Sponge Set Mild 1/2/3mm Blue,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Braking|Jump Control,true,core,true,Mild brake material in three thicknesses. Easy for beginners to tune without slowing the car too aggressively.,https://www.tamiya.com/english/products/15512/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,35,tamiya-15512-brake-sponge-set-mild-1-2-3mm-blue,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15492,Brake Sponge Set 1/2/3mm White,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Braking|Jump Control,true,core,true,General-purpose brake material in three thicknesses for adjusting slope entry and jump speed.,https://www.tamiya.com/english/products/15492/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,36,tamiya-15492-brake-sponge-set-1-2-3mm-white,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15458,Brake Set for AR Chassis,parts,Brakes/Dampers,Universal,AR|MA|FM-A|MS|Super-II,Not applicable,Beginner,Control Upgrade,Braking|Jump Control,true,expansion,false,Simple bolt-on brake system for compatible chassis. Useful when customers want a complete brake assembly.,https://www.tamiya.com/english/products/15458/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,37,tamiya-15458-brake-set-for-ar-chassis,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15518,FRP Rear Brake Stay Set,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Intermediate,Competitive B-MAX,Braking|Rear Plate,true,core,true,Strong rear brake base that lets racers position sponge more accurately.,https://www.tamiya.com/english/products/15518/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,38,tamiya-15518-frp-rear-brake-stay-set,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15405,Front Under Guard,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Track Entry|Protection,true,expansion,false,Helps the front of the car pass track joints and slopes more smoothly while protecting the chassis underside.,https://www.tamiya.com/english/products/15405/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,39,tamiya-15405-front-under-guard,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15392,Mass Damper Set,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Landing|Bounce Control,true,core,true,Basic weights that reduce bouncing after jumps. One of the most useful stability upgrades for new racers.,https://www.tamiya.com/english/products/15392/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,40,tamiya-15392-mass-damper-set,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15401,Mass Damper Set Heavy,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Intermediate,Competitive B-MAX,Landing|Heavy Damper,true,expansion,false,Heavier landing-control option for cars that still bounce or leave the track after jumps.,https://www.tamiya.com/english/products/15401/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,41,tamiya-15401-mass-damper-set-heavy,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15501,Slimline Mass Damper Set,parts,Brakes/Dampers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Landing|Compact Damper,true,core,true,Compact dampers that fit many B-MAX layouts without taking excessive space.,https://www.tamiya.com/english/products/15501/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,42,tamiya-15501-slimline-mass-damper-set,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15459,Side Mass Damper Set for AR Chassis,parts,Brakes/Dampers,Universal,FM-A|AR|MA|Super XX,Not applicable,Beginner,Control Upgrade,Landing|Side Damper,true,expansion,false,Complete side-damper package for compatible chassis. Easier than buying plates and weights separately.,https://www.tamiya.com/english/products/15459/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,43,tamiya-15459-side-mass-damper-set-for-ar-chassis,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15490,Side Mass Damper Set for MA Chassis,parts,Brakes/Dampers,Universal,MA|AR|Super XX,Not applicable,Beginner,Control Upgrade,Landing|Side Damper,true,expansion,false,MA-focused side-damper set that gives new racers a clear bolt-on landing-control solution.,https://www.tamiya.com/english/products/15490/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,44,tamiya-15490-side-mass-damper-set-for-ma-chassis,small_part,brakes_dampers,false,false,unverified,,false,false,false,false,false,false
15381,Low-Friction Roller Set,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,First Upgrade,Cornering|Budget Roller,true,core,true,Low-cost roller upgrade for smoother wall contact. Ideal before customers invest in aluminum rollers.,https://www.tamiya.com/english/products/15381/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,45,tamiya-15381-low-friction-roller-set,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15457,Low-Friction Plastic Double Rollers 13-12mm,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,First Upgrade,Cornering|Double Roller,true,core,true,Budget double rollers that improve wall contact and stability.,https://www.tamiya.com/english/products/15457/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,46,tamiya-15457-low-friction-plastic-double-rollers-13-12mm,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15525,Low-Friction Plastic Double Rollers with Rubber Rings 13-12mm,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Cornering|Grip Control,true,expansion,false,Double rollers with rubber rings for additional control where the setup needs more wall grip.,https://www.tamiya.com/english/products/15525/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,47,tamiya-15525-low-friction-plastic-double-rollers-with-rubber-rings-13-12mm,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15398,Double Aluminum Rollers 13-12mm,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Intermediate,Competitive B-MAX,Cornering|Aluminum Roller,true,core,true,Popular durable front roller option for competitive B-MAX setups.,https://www.tamiya.com/english/products/15398/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,48,tamiya-15398-double-aluminum-rollers-13-12mm,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15449,17mm Aluminum Rollers with Plastic Rings,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Intermediate,Competitive B-MAX,Cornering|Rear Roller,true,expansion,false,17mm aluminum rollers with plastic rings for smooth and durable wall contact.,https://www.tamiya.com/english/products/15449/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,49,tamiya-15449-17mm-aluminum-rollers-with-plastic-rings,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15464,HG 19mm Aluminum Ball-Race Rollers Ringless,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Intermediate,Competitive B-MAX,Cornering|Rear Roller,true,core,true,"Common 19mm rear roller choice for stable, low-friction B-MAX setups.",https://www.tamiya.com/english/products/15464/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,50,tamiya-15464-hg-19mm-aluminum-ball-race-rollers-ringless,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15408,Long Stabilizing Pole and 13mm Roller Set,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Stabilizer|Course-Out Prevention,true,core,true,Simple stabilizer package that helps keep the car upright when it leans against the course wall.,https://www.tamiya.com/english/products/15408/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,51,tamiya-15408-long-stabilizing-pole-and-13mm-roller-set,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15391,Large-Diameter Stabilizer Head Set 11/15mm,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,Control Upgrade,Stabilizer|Course-Out Prevention,true,core,true,Stabilizer heads for reducing rollovers and wall climbing.,https://www.tamiya.com/english/products/15391/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,52,tamiya-15391-large-diameter-stabilizer-head-set-11-15mm,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15528,Hi-Mount Tube Stabilizer Set Black,parts,Rollers/Stabilizers,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Intermediate,Competitive B-MAX,Stabilizer|High Mount,true,expansion,false,Compact high-mounted stabilizer option for more advanced B-MAX layouts.,https://www.tamiya.com/english/products/15528/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,53,tamiya-15528-hi-mount-tube-stabilizer-set-black,small_part,rollers,false,false,unverified,,false,false,false,false,false,false
15394,FRP Multi Roller Setting Stay,parts,Plates,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,First Upgrade,Front Plate|Roller Mount,true,core,true,Affordable universal FRP plate for adding and positioning rollers.,https://www.tamiya.com/english/products/15394/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,54,tamiya-15394-frp-multi-roller-setting-stay,small_part,plates,false,false,unverified,,false,false,false,false,false,false
15430,FRP Rear Multi Roller Setting Stay,parts,Plates,Universal,FM-A|VZ|AR|MA|MS|ME|Super-II,Not applicable,Beginner,First Upgrade,Rear Plate|Roller Mount,true,core,true,"Affordable rear FRP plate for rollers, dampers and brake assemblies.",https://www.tamiya.com/english/products/15430/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,55,tamiya-15430-frp-rear-multi-roller-setting-stay,small_part,plates,false,false,unverified,,false,false,false,false,false,false
15451,FRP Wide Front Plate for AR Chassis,parts,Plates,Universal,AR|MA|FM-A,Not applicable,Beginner,First Upgrade,Front Plate|Wide Setting,true,core,true,Wide front FRP plate that makes roller placement easier on compatible chassis.,https://www.tamiya.com/english/products/15451/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,56,tamiya-15451-frp-wide-front-plate-for-ar-chassis,small_part,plates,false,false,unverified,,false,false,false,false,false,false
15452,FRP Wide Rear Plate for AR Chassis,parts,Plates,Universal,AR|MA|FM-A,Not applicable,Beginner,First Upgrade,Rear Plate|Wide Setting,true,core,true,Wide rear FRP plate for stable roller spacing and basic B-MAX layouts.,https://www.tamiya.com/english/products/15452/index.html,,needs approved upload,0,0,0,0,0,coming soon,false,false,false,57,tamiya-15452-frp-wide-rear-plate-for-ar-chassis,small_part,plates,false,false,unverified,,false,false,false,false,false,false
